edad,clase_trabajo,peso_final,educacion,educacion_num,estado_civil,ocupacion,relacion,raza,sexo,ganancia_capital,perdida_capital,horas_por_semana,pais_origen,ingreso
39,Privado,348521,Algunos-cursos-universitarios,10,Casado-cónyuge-civil,Agricultura-pesca,Esposo,Blanco,Hombre,0,2415,99,Estados-Unidos,>50K
62,Autónomo-incorporado,56248,Licenciatura,13,Casado-cónyuge-civil,Agricultura-pesca,Esposo,Blanco,Hombre,0,2415,60,Estados-Unidos,>50K
31,Autónomo-no-incorporado,252752,Bachillerato,9,Casado-cónyuge-civil,Otro-servicio,Esposa,Blanco,Mujer,0,2415,40,Estados-Unidos,>50K
46,Privado,192963,Licenciatura,13,Casado-cónyuge-civil,Adm-clerical,Esposo,Asiático-Isleño-Pacífico,Hombre,0,2415,35,Filipinas,>50K
46,Autónomo-no-incorporado,198759,Escuela-profesional,15,Casado-cónyuge-civil,Profesional-especialista,Esposo,Blanco,Hombre,0,2415,80,Estados-Unidos,>50K
39,Autónomo-incorporado,143123,Asociado-vocacional,11,Casado-cónyuge-civil,Artesanía-reparación,Esposo,Blanco,Hombre,0,2415,40,Estados-Unidos,>50K
39,Privado,237713,Escuela-profesional,15,Casado-cónyuge-civil,Ventas,Esposo,Blanco,Hombre,0,2415,99,Estados-Unidos,>50K
59,Privado,81929,Doctorado,16,Casado-cónyuge-civil,Profesional-especialista,Esposo,Blanco,Hombre,0,2415,45,Estados-Unidos,>50K
50,Autónomo-incorporado,167793,Escuela-profesional,15,Casado-cónyuge-civil,Profesional-especialista,Esposo,Blanco,Hombre,0,2415,60,Estados-Unidos,>50K
46,Privado,456062,Doctorado,16,Casado-cónyuge-civil,Profesional-especialista,Esposo,Blanco,Hombre,0,2415,55,Estados-Unidos,>50K
53,Autónomo-no-incorporado,105478,Licenciatura,13,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2415,40,Estados-Unidos,>50K
50,Autónomo-no-incorporado,42402,Escuela-profesional,15,Casado-cónyuge-civil,Profesional-especialista,Esposo,Blanco,Hombre,0,2415,30,Estados-Unidos,>50K
41,Autónomo-incorporado,114580,Escuela-profesional,15,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposa,Blanco,Mujer,0,2415,55,Estados-Unidos,>50K
36,Privado,346478,Licenciatura,13,Casado-cónyuge-civil,Ventas,Esposo,Blanco,Hombre,0,2415,45,Estados-Unidos,>50K
38,Privado,187870,Escuela-profesional,15,Casado-cónyuge-civil,Profesional-especialista,Esposo,Blanco,Hombre,0,2415,90,Estados-Unidos,>50K
54,Privado,35576,Algunos-cursos-universitarios,10,Casado-cónyuge-civil,Ventas,Esposo,Blanco,Hombre,0,2415,50,Estados-Unidos,>50K
50,Privado,102346,Licenciatura,13,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposa,Blanco,Mujer,0,2415,20,Estados-Unidos,>50K
47,Privado,148995,Licenciatura,13,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2415,60,Estados-Unidos,>50K
47,Autónomo-incorporado,102308,Escuela-profesional,15,Casado-cónyuge-civil,Profesional-especialista,Esposo,Blanco,Hombre,0,2415,45,Estados-Unidos,>50K
67,Privado,105252,Licenciatura,13,Viudo,Ejecutivo-administrativo,Fuera-de-familia,Blanco,Hombre,0,2392,40,Estados-Unidos,>50K
67,Autónomo-incorporado,106175,Licenciatura,13,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2392,75,Estados-Unidos,>50K
72,Autónomo-no-incorporado,52138,Doctorado,16,Casado-cónyuge-civil,Profesional-especialista,Esposo,Blanco,Hombre,0,2392,25,Estados-Unidos,>50K
72,?,118902,Doctorado,16,Casado-cónyuge-civil,?,Esposo,Blanco,Hombre,0,2392,6,Estados-Unidos,>50K
46,Autónomo-incorporado,191978,Maestría,14,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2392,50,Estados-Unidos,>50K
78,Autónomo-incorporado,188044,Licenciatura,13,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2392,40,Estados-Unidos,>50K
71,Autónomo-incorporado,66624,Licenciatura,13,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2392,60,Estados-Unidos,>50K
83,Autónomo-incorporado,153183,Licenciatura,13,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2392,55,Estados-Unidos,>50K
68,Privado,211287,Maestría,14,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2392,40,Estados-Unidos,>50K
26,Privado,181655,Asociado-vocacional,11,Casado-cónyuge-civil,Adm-clerical,Esposo,Blanco,Hombre,0,2377,45,Estados-Unidos,<=50K
68,Gobierno-Estatal,235882,Doctorado,16,Casado-cónyuge-civil,Profesional-especialista,Esposo,Blanco,Hombre,0,2377,60,Estados-Unidos,>50K
49,Autónomo-incorporado,158685,Bachillerato,9,Casado-cónyuge-civil,Adm-clerical,Esposa,Blanco,Mujer,0,2377,40,Estados-Unidos,>50K
36,Privado,370767,Bachillerato,9,Casado-cónyuge-civil,Profesional-especialista,Esposo,Blanco,Hombre,0,2377,60,Estados-Unidos,<=50K
70,Autónomo-no-incorporado,155141,Licenciatura,13,Casado-cónyuge-civil,Artesanía-reparación,Esposo,Blanco,Hombre,0,2377,12,Estados-Unidos,>50K
27,Privado,156516,Algunos-cursos-universitarios,10,Casado-cónyuge-civil,Adm-clerical,Esposa,Negro,Mujer,0,2377,20,Estados-Unidos,<=50K
35,Gobierno-Local,177305,Algunos-cursos-universitarios,10,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2377,40,Estados-Unidos,<=50K
23,Privado,162945,Bachillerato,9,Casado-cónyuge-civil,Ventas,Esposo,Blanco,Hombre,0,2377,40,Estados-Unidos,<=50K
81,Privado,177408,Bachillerato,9,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2377,26,Estados-Unidos,>50K
66,Autónomo-no-incorporado,427422,Doctorado,16,Casado-cónyuge-civil,Ventas,Esposo,Blanco,Hombre,0,2377,25,Estados-Unidos,>50K
71,Privado,152307,Bachillerato,9,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2377,45,Estados-Unidos,>50K
68,Privado,218637,Algunos-cursos-universitarios,10,Casado-cónyuge-civil,Ventas,Esposo,Blanco,Hombre,0,2377,55,Estados-Unidos,>50K
68,Gobierno-Estatal,202699,Maestría,14,Casado-cónyuge-civil,Profesional-especialista,Esposo,Blanco,Hombre,0,2377,42,?,>50K
65,?,240857,Licenciatura,13,Casado-cónyuge-civil,?,Esposo,Blanco,Hombre,0,2377,40,Estados-Unidos,>50K
52,Privado,222405,Bachillerato,9,Casado-cónyuge-civil,Ventas,Esposo,Negro,Hombre,0,2377,40,Estados-Unidos,<=50K
40,Autónomo-incorporado,110862,Assoc-acdm,12,Casado-cónyuge-civil,Artesanía-reparación,Esposo,Blanco,Hombre,0,2377,50,Estados-Unidos,<=50K
68,?,257269,Licenciatura,13,Casado-cónyuge-civil,?,Esposo,Blanco,Hombre,0,2377,35,Estados-Unidos,>50K
21,Privado,377931,Algunos-cursos-universitarios,10,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2377,48,Estados-Unidos,<=50K
35,Privado,192923,Bachillerato,9,Casado-cónyuge-civil,Artesanía-reparación,Esposo,Blanco,Hombre,0,2377,40,Estados-Unidos,<=50K
70,Autónomo-incorporado,207938,Licenciatura,13,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2377,50,Estados-Unidos,>50K
61,Autónomo-no-incorporado,36671,Bachillerato,9,Casado-cónyuge-civil,Agricultura-pesca,Esposo,Blanco,Hombre,0,2352,50,Estados-Unidos,<=50K
65,Autónomo-incorporado,81413,Bachillerato,9,Casado-cónyuge-civil,Agricultura-pesca,Esposo,Blanco,Hombre,0,2352,65,Estados-Unidos,<=50K
46,Privado,214955,5to-6to grado,3,Divorciado,Artesanía-reparación,Fuera-de-familia,Blanco,Mujer,0,2339,45,Estados-Unidos,<=50K
26,Gobierno-Local,166295,Licenciatura,13,Nunca-casado,Profesional-especialista,Fuera-de-familia,Blanco,Hombre,0,2339,55,Estados-Unidos,<=50K
59,Gobierno-Local,147707,Bachillerato,9,Viudo,Agricultura-pesca,Soltero,Blanco,Hombre,0,2339,40,Estados-Unidos,<=50K
61,Privado,43554,5to-6to grado,3,Nunca-casado,Manipuladores-limpiadores,Fuera-de-familia,Negro,Hombre,0,2339,40,Estados-Unidos,<=50K
60,Gobierno-Estatal,358893,Licenciatura,13,Divorciado,Profesional-especialista,Fuera-de-familia,Blanco,Mujer,0,2339,40,Estados-Unidos,<=50K
49,Autónomo-incorporado,141058,Algunos-cursos-universitarios,10,Divorciado,Ejecutivo-administrativo,Fuera-de-familia,Blanco,Hombre,0,2339,50,Estados-Unidos,<=50K
34,Privado,25322,Licenciatura,13,Casado-cónyuge-ausente,Operador-máquina-inspector,Fuera-de-familia,Asiático-Isleño-Pacífico,Hombre,0,2339,40,?,<=50K
25,Privado,77071,Licenciatura,13,Nunca-casado,Profesional-especialista,Hijo-propia,Blanco,Mujer,0,2339,35,Estados-Unidos,<=50K
55,Privado,158702,Algunos-cursos-universitarios,10,Nunca-casado,Adm-clerical,Fuera-de-familia,Negro,Mujer,0,2339,45,?,<=50K
59,Gobierno-Local,171328,Bachillerato,9,Separado,Servicios-protección,Otro-familiar,Negro,Mujer,0,2339,40,Estados-Unidos,<=50K
28,Gobierno-Estatal,381789,Algunos-cursos-universitarios,10,Separado,Ejecutivo-administrativo,Hijo-propia,Blanco,Hombre,0,2339,40,Estados-Unidos,<=50K
43,?,152569,Asociado-vocacional,11,Viudo,?,Fuera-de-familia,Blanco,Mujer,0,2339,36,Estados-Unidos,<=50K
56,Autónomo-no-incorporado,346635,Maestría,14,Divorciado,Ventas,Soltero,Blanco,Mujer,0,2339,60,Estados-Unidos,<=50K
41,Privado,162140,Bachillerato,9,Divorciado,Artesanía-reparación,Fuera-de-familia,Blanco,Hombre,0,2339,40,Estados-Unidos,<=50K
42,Privado,191765,Bachillerato,9,Nunca-casado,Adm-clerical,Otro-familiar,Negro,Mujer,0,2339,40,Trinidad-Tobago,<=50K
28,Privado,251905,Escuela-profesional,15,Nunca-casado,Profesional-especialista,Fuera-de-familia,Blanco,Hombre,0,2339,40,Canadá,<=50K
40,Autónomo-no-incorporado,33310,Escuela-profesional,15,Divorciado,Otro-servicio,Fuera-de-familia,Blanco,Mujer,0,2339,35,Estados-Unidos,<=50K
69,Privado,228921,Licenciatura,13,Viudo,Profesional-especialista,Fuera-de-familia,Blanco,Hombre,0,2282,40,Estados-Unidos,>50K
66,Gobierno-Local,36364,Bachillerato,9,Casado-cónyuge-civil,Artesanía-reparación,Esposo,Blanco,Hombre,0,2267,40,Estados-Unidos,<=50K
69,Privado,124930,5to-6to grado,3,Casado-cónyuge-civil,Operador-máquina-inspector,Esposo,Blanco,Hombre,0,2267,40,Estados-Unidos,<=50K
55,Gobierno-Local,176046,Maestría,14,Casado-cónyuge-civil,Profesional-especialista,Esposa,Blanco,Mujer,0,2267,40,Estados-Unidos,<=50K
57,Gobierno-Federal,370890,Bachillerato,9,Nunca-casado,Adm-clerical,Fuera-de-familia,Blanco,Hombre,0,2258,40,Estados-Unidos,<=50K
20,Autónomo-no-incorporado,157145,Algunos-cursos-universitarios,10,Nunca-casado,Agricultura-pesca,Hijo-propia,Blanco,Hombre,0,2258,10,Estados-Unidos,<=50K
33,Privado,288825,Bachillerato,9,Divorciado,Artesanía-reparación,Fuera-de-familia,Blanco,Hombre,0,2258,84,Estados-Unidos,<=50K
30,Autónomo-no-incorporado,257295,Algunos-cursos-universitarios,10,Nunca-casado,Ventas,Otro-familiar,Asiático-Isleño-Pacífico,Hombre,0,2258,40,Sur,<=50K
40,Privado,287983,Licenciatura,13,Nunca-casado,Soporte-técnico,Fuera-de-familia,Asiático-Isleño-Pacífico,Mujer,0,2258,48,Filipinas,<=50K
38,Privado,101978,Algunos-cursos-universitarios,10,Separado,Operador-máquina-inspector,Fuera-de-familia,Blanco,Hombre,0,2258,55,Estados-Unidos,>50K
46,Gobierno-Estatal,192779,Assoc-acdm,12,Divorciado,Adm-clerical,Soltero,Blanco,Hombre,0,2258,38,Estados-Unidos,>50K
29,Privado,135296,Licenciatura,13,Nunca-casado,Ejecutivo-administrativo,Fuera-de-familia,Blanco,Mujer,0,2258,45,Estados-Unidos,>50K
57,Gobierno-Federal,199114,Licenciatura,13,Nunca-casado,Adm-clerical,Fuera-de-familia,Blanco,Hombre,0,2258,40,Estados-Unidos,<=50K
39,Privado,156897,Bachillerato,9,Nunca-casado,Artesanía-reparación,Hijo-propia,Blanco,Hombre,0,2258,42,Estados-Unidos,>50K
47,Privado,138107,Licenciatura,13,Divorciado,Ejecutivo-administrativo,Fuera-de-familia,Blanco,Hombre,0,2258,40,Estados-Unidos,>50K
26,Privado,279833,Licenciatura,13,Nunca-casado,Ejecutivo-administrativo,Fuera-de-familia,Blanco,Hombre,0,2258,45,Estados-Unidos,>50K
27,Autónomo-no-incorporado,208577,Bachillerato,9,Nunca-casado,Artesanía-reparación,Fuera-de-familia,Blanco,Hombre,0,2258,50,Estados-Unidos,<=50K
